ACC,MIhat,Purity,P,R,F,RI,omega,lambda,r,p,time,iter
0.7950,0.8888,0.8125,0.7174,0.7333,0.7253,0.7189,0.01000,0.0079,5.0,1.0,3.14,16,bw 
0.7950,0.8878,0.8125,0.7179,0.7322,0.7250,0.7186,0.01000,0.0079,5.0,0.9,3.94,13,bw 
0.8025,0.8877,0.8175,0.7246,0.7383,0.7314,0.7252,0.01000,0.0079,5.0,0.8,3.34,18,bw 
0.7875,0.8832,0.8050,0.7034,0.7206,0.7119,0.7051,0.01000,0.0079,5.0,0.7,2.52,14,bw 
0.8025,0.8898,0.8200,0.7286,0.7411,0.7348,0.7286,0.01000,0.0079,5.0,0.6,2.26,12,bw 
0.8025,0.8864,0.8175,0.7219,0.7356,0.7287,0.7224,0.01000,0.0079,5.0,0.5,1.98,12,bw 
0.8200,0.8894,0.8325,0.7260,0.7567,0.7410,0.7349,0.01000,0.0079,5.0,0.4,2.02,12,bw 
0.7950,0.8901,0.8125,0.7159,0.7406,0.7280,0.7216,0.01000,0.0079,5.0,0.3,2.84,15,bw 
0.8000,0.8884,0.8200,0.7205,0.7461,0.7331,0.7268,0.01000,0.0079,5.0,0.2,1.82,10,bw 
0.7975,0.8790,0.8075,0.6912,0.7400,0.7148,0.7080,0.01000,0.0079,5.0,0.1,1.95,11,bw 
0.8000,0.8893,0.8175,0.7242,0.7367,0.7304,0.7241,0.01000,0.0100,5.0,1.0,3.30,21,bw 
0.7950,0.8878,0.8125,0.7179,0.7322,0.7250,0.7186,0.01000,0.0100,5.0,0.9,3.39,16,bw 
0.7925,0.8865,0.8100,0.7129,0.7283,0.7205,0.7140,0.01000,0.0100,5.0,0.8,2.76,14,bw 
0.8075,0.8941,0.8225,0.7343,0.7478,0.7410,0.7350,0.01000,0.0100,5.0,0.7,3.87,18,bw 
0.7875,0.8832,0.8050,0.7034,0.7206,0.7119,0.7051,0.01000,0.0100,5.0,0.6,2.20,12,bw 
