ACC,MIhat,Purity,P,R,F,RI,omega,lambda,r,p,time,iter
0.4619,0.4076,0.4762,0.3641,0.3862,0.3748,0.2706,0.00090,0.0100,5.0,0.1,0.87,9,bw 
0.7000,0.6037,0.7000,0.5588,0.5787,0.5686,0.4977,0.00090,0.1000,5.0,1.0,12.01,67,bw 
0.7286,0.6095,0.7286,0.5814,0.6026,0.5918,0.5247,0.00090,0.1000,5.0,0.9,3.56,61,bw 
0.4810,0.4408,0.5190,0.3791,0.4414,0.4079,0.3040,0.00090,0.1000,5.0,0.8,3.51,59,bw 
0.4238,0.3659,0.4476,0.3221,0.3432,0.3323,0.2208,0.00090,0.1000,5.0,0.7,2.48,46,bw 
0.5429,0.4722,0.5524,0.4073,0.4588,0.4315,0.3335,0.00090,0.1000,5.0,0.6,2.63,44,bw 
0.4714,0.4014,0.4714,0.3546,0.3767,0.3653,0.2594,0.00090,0.1000,5.0,0.5,3.14,41,bw 
0.4714,0.4017,0.4714,0.3515,0.3796,0.3650,0.2581,0.00090,0.1000,5.0,0.4,2.69,43,bw 
0.4667,0.4089,0.4714,0.3623,0.3839,0.3728,0.2683,0.00090,0.1000,5.0,0.3,2.33,39,bw 
0.4714,0.4131,0.4762,0.3671,0.3888,0.3777,0.2740,0.00090,0.1000,5.0,0.2,1.89,34,bw 
0.4619,0.4120,0.4714,0.3624,0.3872,0.3744,0.2697,0.00090,0.1000,5.0,0.1,1.86,31,bw 
0.4905,0.4312,0.4905,0.3105,0.5064,0.3850,0.2572,0.00090,1.0000,5.0,1.0,5.83,98,bw 
0.7524,0.7205,0.7524,0.6185,0.6943,0.6542,0.5947,0.00090,1.0000,5.0,0.9,5.77,99,bw 
0.8238,0.7418,0.8238,0.6987,0.7172,0.7078,0.6600,0.00090,1.0000,5.0,0.8,4.98,101,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,1.0000,5.0,0.7,4.50,96,bw 
0.8476,0.8766,0.8476,0.7568,0.9810,0.8544,0.8274,0.00090,1.0000,5.0,0.6,4.20,87,bw 
0.8476,0.8783,0.8524,0.7608,0.9714,0.8533,0.8263,0.00090,1.0000,5.0,0.5,4.25,90,bw 
0.8476,0.8783,0.8524,0.7608,0.9714,0.8533,0.8263,0.00090,1.0000,5.0,0.4,4.59,85,bw 
0.7381,0.6293,0.7381,0.6116,0.6345,0.6228,0.5608,0.00090,1.0000,5.0,0.3,4.40,81,bw 
0.6286,0.6124,0.6667,0.5379,0.6545,0.5905,0.5169,0.00090,1.0000,5.0,0.2,3.80,78,bw 
0.6286,0.5561,0.6429,0.5181,0.5593,0.5379,0.4601,0.00090,1.0000,5.0,0.1,3.38,72,bw 
0.4857,0.4283,0.4857,0.3259,0.4969,0.3937,0.2716,0.00090,5.0000,5.0,1.0,5.85,124,bw 
0.4952,0.4783,0.4952,0.3839,0.6585,0.4850,0.3755,0.00090,5.0000,5.0,0.9,5.19,111,bw 
0.6238,0.6008,0.6238,0.4967,0.7110,0.5848,0.5037,0.00090,5.0000,5.0,0.8,5.21,116,bw 
0.5381,0.5053,0.5571,0.3944,0.5245,0.4502,0.3468,0.00090,5.0000,5.0,0.7,5.26,108,bw 
0.7238,0.6825,0.7238,0.5771,0.7291,0.6442,0.5790,0.00090,5.0000,5.0,0.6,4.97,106,bw 
0.4762,0.3886,0.4762,0.2859,0.5195,0.3688,0.2312,0.00090,5.0000,5.0,0.5,5.31,107,bw 
0.9667,0.9249,0.9667,0.9333,0.9333,0.9333,0.9226,0.00090,5.0000,5.0,0.4,5.43,108,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.00090,5.0000,5.0,0.3,4.86,96,bw 
0.7000,0.7505,0.7000,0.6110,0.9156,0.7329,0.6796,0.00090,5.0000,5.0,0.2,4.78,101,bw 
0.9381,0.8831,0.9381,0.8828,0.8831,0.8829,0.8641,0.00090,5.0000,5.0,0.1,5.26,105,bw 
0.5429,0.5158,0.5429,0.4065,0.7652,0.5309,0.4271,0.00090,10.0000,5.0,1.0,6.14,123,bw 
0.4238,0.3876,0.4429,0.2799,0.6197,0.3856,0.2404,0.00090,10.0000,5.0,0.9,5.75,118,bw 
0.6238,0.6253,0.6238,0.4766,0.7389,0.5794,0.4941,0.00090,10.0000,5.0,0.8,5.27,119,bw 
0.4905,0.4599,0.4905,0.3480,0.5340,0.4214,0.3046,0.00090,10.0000,5.0,0.7,5.27,117,bw 
0.5000,0.4197,0.5000,0.3109,0.6453,0.4196,0.2859,0.00090,10.0000,5.0,0.6,5.56,113,bw 
0.6619,0.6552,0.6619,0.5137,0.7461,0.6085,0.5315,0.00090,10.0000,5.0,0.5,6.01,112,bw 
0.5571,0.4733,0.5571,0.3844,0.5504,0.4527,0.3458,0.00090,10.0000,5.0,0.4,6.01,108,bw 
0.9667,0.9248,0.9667,0.9330,0.9333,0.9332,0.9224,0.00090,10.0000,5.0,0.3,6.99,133,bw 
0.7905,0.7514,0.7905,0.6790,0.7320,0.7045,0.6548,0.00090,10.0000,5.0,0.2,6.18,114,bw 
